question,possible_answers,id,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop
In what city was Gary Freear born?,"[""King's Lynn"", ""Lynn"", ""Bishop's Lynn""]",4192425,Gary Freear,place of birth,King's Lynn,1838439,218,335550,"[""Gary David Freear""]","[""Lynn"",""Bishop's Lynn""]",http://www.wikidata.org/entity/Q5525097,http://www.wikidata.org/entity/Q157341,Gary Freear,King's Lynn,38,12959
In what city was Paweł Blehm born?,"[""Olkusz""]",2715735,Paweł Blehm,place of birth,Olkusz,1168021,218,2623125,[],[],http://www.wikidata.org/entity/Q357520,http://www.wikidata.org/entity/Q764943,Paweł Blehm,Olkusz,99,666
In what city was Keri Lees born?,"[""Stone"", ""Stone, Staffordshire""]",936266,Keri Lees,place of birth,Stone,398993,218,830944,"[""Keri Maddox""]","[""Stone, Staffordshire""]",http://www.wikidata.org/entity/Q16210580,http://www.wikidata.org/entity/Q2449737,Keri Lees,"Stone, Staffordshire",47,2871
In what city was Christos Mitsis born?,"[""Marousi""]",3734310,Christos Mitsis,place of birth,Marousi,1622180,218,2940705,[],[],http://www.wikidata.org/entity/Q5113568,http://www.wikidata.org/entity/Q992348,Christos Mitsis,Marousi,72,1603
"In what city was Robin Williams, the New Zealand mathematician, public servant, and university administrator, born?","[""Christchurch"", ""Christchurch, New Zealand""]",5613652,Robin Williams,place of birth,Christchurch,2501326,218,2782127,"[""Robert Martin Williams"",""Robert Martin \""Robin\"" Williams"",""Robert M. Williams"",""Robin M. Williams"",""Bob Williams""]","[""Christchurch, New Zealand""]",http://www.wikidata.org/entity/Q7352629,http://www.wikidata.org/entity/Q79990,Robin Williams (mathematician),Christchurch,82,33178
In what city was the Australian politician John Keating's birthplace?,"[""Hobart"", ""Hobart Town"", ""Hobarton"", ""Hobart, Tasmania"", ""Hobart, Tas.""]",251876,John Keating,place of birth,Hobart,101473,218,1261300,"[""John Henry Keating""]","[""Hobart Town"",""Hobarton"",""Hobart, Tasmania"",""Hobart, Tas.""]",http://www.wikidata.org/entity/Q11727915,http://www.wikidata.org/entity/Q40191,John Keating (Australian politician),Hobart,87,25121
In what city was the Lithuanian musician Jurgis Karnavičius born?,"[""Vilnius"", ""Vilna"", ""Wilno"", ""Vilne"", ""Wilna"", ""Viļņa"", ""Vilnia"", ""Vilno"", ""Vilnyus""]",181481,Jurgis Karnavičius,place of birth,Vilnius,73292,218,752152,[],"[""Vilna"",""Wilno"",""Vilne"",""Wilna"",""Vi\u013c\u0146a"",""Vilnia"",""Vilno"",""Vilnyus""]",http://www.wikidata.org/entity/Q11259521,http://www.wikidata.org/entity/Q216,Jurgis Karnavičius,Vilnius,69,42978
"""In what city was Xue Fei born?""","[""Beijing"", ""Peking"", ""Beiping"", ""Peiping"", ""Yanjing"", ""Zhongdu"", ""Khanbaliq"", ""BJ"", ""Shun Tian Fu"", ""Pekin"", ""beijing""]",6445857,Xue Fei,place of birth,Beijing,2899617,218,2916491,[],"[""Peking"",""Beiping"",""Peiping"",""Yanjing"",""Zhongdu"",""Khanbaliq"",""BJ"",""Shun Tian Fu"",""Pekin"",""beijing""]",http://www.wikidata.org/entity/Q9339095,http://www.wikidata.org/entity/Q956,Xue Fei (footballer),Beijing,65,125585
In what city was Din Joe Crowley born?,"[""Rathmore, County Kerry""]",3918710,Din Joe Crowley,place of birth,"Rathmore, County Kerry",1710528,218,2938822,"[""Denis Joseph Crowley""]",[],http://www.wikidata.org/entity/Q5277819,http://www.wikidata.org/entity/Q987750,Din Joe Crowley,"Rathmore, County Kerry",69,384
In what city was Joachim Zachris Duncker born?,"[""Ristiina"", ""Kristina"", ""Kristina kommun""]",6525564,Joachim Zachris Duncker,place of birth,Ristiina,2929035,218,429368,[],"[""Kristina"",""Kristina kommun""]",http://www.wikidata.org/entity/Q973680,http://www.wikidata.org/entity/Q1641615,Joachim Zachris Duncker,Ristiina,89,228
In what city was Paul Braniff born?,"[""Portaferry"", ""Portaferry, County Down""]",926322,Paul Braniff,place of birth,Portaferry,394005,218,683288,[],"[""Portaferry, County Down""]",http://www.wikidata.org/entity/Q16200039,http://www.wikidata.org/entity/Q1959712,Paul Braniff (hurler),Portaferry,85,1503
In what city was the Canadian Paralympic athlete Scott Patterson born?,"[""Vancouver"", ""City of Vancouver"", ""Vancouver, BC"", ""Vancouver, British Columbia""]",5708121,Scott Patterson,place of birth,Vancouver,2546647,218,835440,[],"[""City of Vancouver"",""Vancouver, BC"",""Vancouver, British Columbia""]",http://www.wikidata.org/entity/Q7437016,http://www.wikidata.org/entity/Q24639,Scott Patterson (Paralympian),Vancouver,42,145635
In what city was Emmanuel Biron born?,"[""Lyon"", ""Lyons"", ""Commune-Affranchie""]",2307298,Emmanuel Biron,place of birth,Lyon,1006636,218,1335914,[],"[""Lyons"",""Commune-Affranchie""]",http://www.wikidata.org/entity/Q3052600,http://www.wikidata.org/entity/Q456,Emmanuel Biron,Lyon,96,55002
In what city was Yugo Yoshida born?,"[""Karatsu"", ""Katatu""]",949248,Yugo Yoshida,place of birth,Karatsu,404662,218,2518815,"[""Weed"",""Yoshida Yugo""]","[""Katatu""]",http://www.wikidata.org/entity/Q16222552,http://www.wikidata.org/entity/Q738275,Yugo Yoshida,"Karatsu, Saga",43,804
In what city was Montxu Miranda born?,"[""Santurtzi"", ""Santurce""]",5208267,Montxu Miranda,place of birth,Santurtzi,2305877,218,2886713,[],"[""Santurce""]",http://www.wikidata.org/entity/Q6906671,http://www.wikidata.org/entity/Q917886,Montxu Miranda,Santurtzi,60,485
In what city was Juha Jokela born?,"[""Tampere"", ""Tammerfors""]",4775307,Juha Jokela,place of birth,Tampere,2099357,218,1271294,"[""Juha Petteri Jokela""]","[""Tammerfors""]",http://www.wikidata.org/entity/Q6305021,http://www.wikidata.org/entity/Q40840,Juha Jokela,Tampere,88,18761
In what city was Richard S. Bull born?,"[""Wilkinsburg""]",5578918,Richard S. Bull,place of birth,Wilkinsburg,2486351,218,108417,"[""Richard Salisbury Bull, Jr.""]",[],http://www.wikidata.org/entity/Q7328810,http://www.wikidata.org/entity/Q1184857,Richard S. Bull,"Wilkinsburg, Pennsylvania",27,5079
In what city was Maurice Reymond de Broutelles born?,"[""Geneva"", ""Genève"", ""Geneva GE"", ""Geneve"", ""Genf""]",406050,Maurice Reymond de Broutelles,place of birth,Geneva,163655,218,2376315,[],"[""Gen\u00e8ve"",""Geneva GE"",""Geneve"",""Genf""]",http://www.wikidata.org/entity/Q1308686,http://www.wikidata.org/entity/Q71,Maurice Reymond de Broutelles,Geneva,96,80696
In what city was Juan Manuel Montero Vázquez born?,"[""Palencia""]",1180309,Juan Manuel Montero Vázquez,place of birth,Palencia,525159,218,2839380,"[""Juan Manuel Montero Vazquez""]",[],http://www.wikidata.org/entity/Q1710569,http://www.wikidata.org/entity/Q8378,Juan Manuel Montero Vázquez,Palencia,60,3322
In what city was Evan Abraham born?,"[""Swansea"", ""Abertawe""]",4074008,Evan Abraham,place of birth,Swansea,1781903,218,789509,[],"[""Abertawe""]",http://www.wikidata.org/entity/Q5415309,http://www.wikidata.org/entity/Q23051,Evan Abraham,Swansea,78,27728
In what city was Carlos Nieto born?,"[""La Plata""]",2232591,Carlos Nieto,place of birth,La Plata,974845,218,1313247,[],[],http://www.wikidata.org/entity/Q2939422,http://www.wikidata.org/entity/Q44059,Carlos Nieto (rugby union),La Plata,65,7825
In what city was Andy Keeley born?,"[""Basildon""]",3335561,Andy Keeley,place of birth,Basildon,1432866,218,753864,"[""Andrew James Keeley""]",[],http://www.wikidata.org/entity/Q4760879,http://www.wikidata.org/entity/Q216649,Andy Keeley,Basildon,88,11190
"In what city was Fernando García, the Chilean musician, born?","[""Santiago"", ""Santiago de Chile"", ""Santiago, Chile""]",551266,Fernando García,place of birth,Santiago,224734,218,957791,"[""Fernando Garcia""]","[""Santiago de Chile"",""Santiago, Chile""]",http://www.wikidata.org/entity/Q1406681,http://www.wikidata.org/entity/Q2887,Fernando García (composer),Santiago,87,41610
In what city was William Franklin Switzler born?,"[""Columbia"", ""Columbia, Missouri""]",1432988,William Franklin Switzler,place of birth,Columbia,640828,218,1995898,[],"[""Columbia, Missouri""]",http://www.wikidata.org/entity/Q18749220,http://www.wikidata.org/entity/Q59670,William Franklin Switzler,"Columbia, Missouri",89,16208
"In what city was György Kárpáti, the Hungarian (1933–2023), born?","[""Budapest"", ""Buda Pest"", ""Buda-Pest"", ""Budapešť"", ""Budapesta"", ""Budapeszt"", ""Buda"", ""Ofen"", ""Budín"", ""Budim"", ""Budon"", ""Pest"", ""Pešť"", ""Pešta"", ""Óbuda"", ""Alt-Ofen"", ""Kőbánya""]",178789,György Kárpáti,place of birth,Budapest,72245,218,573857,[],"[""Buda Pest"",""Buda-Pest"",""Budape\u0161\u0165"",""Budapesta"",""Budapeszt"",""Buda"",""Ofen"",""Bud\u00edn"",""Budim"",""Budon"",""Pest"",""Pe\u0161\u0165"",""Pe\u0161ta"",""\u00d3buda"",""Alt-Ofen"",""K\u0151b\u00e1nya""]",http://www.wikidata.org/entity/Q1123606,http://www.wikidata.org/entity/Q1781,György Kárpáti (film director),Budapest,72,134197
In what city was Szymon Kataszek born?,"[""Warsaw"", ""Warszawa"", ""Varshe"", ""Warschau"", ""Varshava"", ""Varšava"", ""Varsó"", ""Varsavia"", ""Varsovie"", ""Varsovia"", ""Varšuva""]",6449002,Szymon Kataszek,place of birth,Warsaw,2900919,218,906807,[],"[""Warszawa"",""Varshe"",""Warschau"",""Varshava"",""Var\u0161ava"",""Vars\u00f3"",""Varsavia"",""Varsovie"",""Varsovia"",""Var\u0161uva""]",http://www.wikidata.org/entity/Q9352658,http://www.wikidata.org/entity/Q270,Szymon Kataszek,Warsaw,89,91213
In what city was David Granger born?,"[""New York City"", ""NYC"", ""New York"", ""the five boroughs"", ""Big Apple"", ""City of New York"", ""NY City"", ""New York, New York"", ""New York City, New York"", ""New York, NY"", ""New York City (NYC)""]",2612733,David Granger,place of birth,New York City,1125522,218,2005387,[],"[""NYC"",""New York"",""the five boroughs"",""Big Apple"",""City of New York"",""NY City"",""New York, New York"",""New York City, New York"",""New York, NY"",""New York City (NYC)""]",http://www.wikidata.org/entity/Q3437676,http://www.wikidata.org/entity/Q60,David Granger (bobsleigh),New York City,78,718380
In what city was John Mant born?,"[""Darling Point"", ""Darling Point, New South Wales"", ""Darling Point, New South Wales, Australia""]",4724551,John Mant,place of birth,Darling Point,2078786,218,962782,[],"[""Darling Point, New South Wales"",""Darling Point, New South Wales, Australia""]",http://www.wikidata.org/entity/Q6246654,http://www.wikidata.org/entity/Q2900456,John Mant,"Darling Point, New South Wales",50,1691
In what city was Andrea Magi born?,"[""Pesaro""]",3324646,Andrea Magi,place of birth,Pesaro,1428605,218,166324,[],[],http://www.wikidata.org/entity/Q4755163,http://www.wikidata.org/entity/Q13134,Andrea Magi,Pesaro,88,4700
In what city was Shagari Mohammed born?,"[""Kano""]",65541,Shagari Mohammed,place of birth,Kano,25768,218,607697,"[""Shehu Mohammed Shagari""]",[],http://www.wikidata.org/entity/Q10487193,http://www.wikidata.org/entity/Q182984,Shagari Mohammed,Kano (city),82,9017
"In what city was Frederick Mackenzie, the Canadian (1841-1889), born?","[""Montreal"", ""Montréal"", ""City of Montreal"", ""Montreal, Quebec"", ""Ville de Montréal"", ""Ville de Montreal""]",2332141,Frederick Mackenzie,place of birth,Montreal,1017346,218,1114198,[],"[""Montr\u00e9al"",""City of Montreal"",""Montreal, Quebec"",""Ville de Montr\u00e9al"",""Ville de Montreal""]",http://www.wikidata.org/entity/Q3087132,http://www.wikidata.org/entity/Q340,Frederick Mackenzie (Quebec politician),Montreal,78,131670
In what city was Gyula Czimra born?,"[""Budapest"", ""Buda Pest"", ""Buda-Pest"", ""Budapešť"", ""Budapesta"", ""Budapeszt"", ""Buda"", ""Ofen"", ""Budín"", ""Budim"", ""Budon"", ""Pest"", ""Pešť"", ""Pešta"", ""Óbuda"", ""Alt-Ofen"", ""Kőbánya""]",4305353,Gyula Czimra,place of birth,Budapest,1889111,218,573857,[],"[""Buda Pest"",""Buda-Pest"",""Budape\u0161\u0165"",""Budapesta"",""Budapeszt"",""Buda"",""Ofen"",""Bud\u00edn"",""Budim"",""Budon"",""Pest"",""Pe\u0161\u0165"",""Pe\u0161ta"",""\u00d3buda"",""Alt-Ofen"",""K\u0151b\u00e1nya""]",http://www.wikidata.org/entity/Q5625568,http://www.wikidata.org/entity/Q1781,Gyula Czimra,Budapest,46,134197
In what city was Catherine Tishem born?,"[""Norwich"", ""Norwich, England"", ""Norwich, Norfolk""]",3658789,Catherine Tishem,place of birth,Norwich,1588054,218,160750,[],"[""Norwich, England"",""Norwich, Norfolk""]",http://www.wikidata.org/entity/Q5052948,http://www.wikidata.org/entity/Q130191,Catherine Tishem,Norwich,68,36457
In what city was Jiří Vyčichlo born?,"[""Prague"", ""Praha"", ""Hlavní město Praha"", ""City of Prague""]",296572,Jiří Vyčichlo,place of birth,Prague,119846,218,51360,"[""Jiri Vycichlo""]","[""Praha"",""Hlavn\u00ed m\u011bsto Praha"",""City of Prague""]",http://www.wikidata.org/entity/Q12025599,http://www.wikidata.org/entity/Q1085,Jiří Vyčichlo,Prague,26,112627
In what city was Jesús Antonio Hernández born?,"[""Los Mochis"", ""Los Mochis""]",953696,Jesús Antonio Hernández,place of birth,Los Mochis,406715,218,2574647,[],"[""Los Mochis""]",http://www.wikidata.org/entity/Q16226850,http://www.wikidata.org/entity/Q752460,Jesús Antonio Hernández,Los Mochis,77,3474
"""In what city was Gerhard Ludwig, the German, born?""","[""Berlin"", ""Berlin, Germany"", ""Berlin (Germany)"", ""DE-BE""]",268085,Gerhard Ludwig,place of birth,Berlin,108323,218,2135299,[],"[""Berlin, Germany"",""Berlin (Germany)"",""DE-BE""]",http://www.wikidata.org/entity/Q118469,http://www.wikidata.org/entity/Q64,Gerhard Ludwig,Berlin,47,163000
In what city was Gaston-François de Witte born?,"[""Antwerp"", ""Antwerpen"", ""City of Antwerp"", ""Anvers""]",2040976,Gaston-François de Witte,place of birth,Antwerp,894064,218,156571,"[""Witte""]","[""Antwerpen"",""City of Antwerp"",""Anvers""]",http://www.wikidata.org/entity/Q2656478,http://www.wikidata.org/entity/Q12892,Gaston-François de Witte,Antwerp,94,60419
In what city was Farman Behboud born?,"[""Tehran"", ""Teheran""]",4093346,Farman Behboud,place of birth,Tehran,1791490,218,1175434,[],"[""Teheran""]",http://www.wikidata.org/entity/Q5435629,http://www.wikidata.org/entity/Q3616,Farman Behboud,Tehran,61,51379
In what city was Francisco María Oreamuno Bonilla born?,"[""Cartago"", ""Cartago, Costa Rica""]",3106173,Francisco María Oreamuno Bonilla,place of birth,Cartago,1323953,218,1009337,"[""Francisco Maria Oreamuno Bonilla""]","[""Cartago, Costa Rica""]",http://www.wikidata.org/entity/Q449426,http://www.wikidata.org/entity/Q30617,Francisco María Oreamuno Bonilla,"Cartago, Costa Rica",99,2031
In what city was Martin Simonson born?,"[""Gothenburg"", ""Göteborg""]",5102920,Martin Simonson,place of birth,Gothenburg,2255519,218,855174,[],"[""G\u00f6teborg""]",http://www.wikidata.org/entity/Q6776590,http://www.wikidata.org/entity/Q25287,Martin Simonson,Gothenburg,99,47618
In what city was Mimoun Ouled Radi born?,"[""Amsterdam"", ""Mokum"", ""Amsterdam, NL"", ""Amsterdam, Netherlands"", ""A'dam""]",1925221,Mimoun Ouled Radi,place of birth,Amsterdam,846284,218,2455815,[],"[""Mokum"",""Amsterdam, NL"",""Amsterdam, Netherlands"",""A'dam""]",http://www.wikidata.org/entity/Q2496773,http://www.wikidata.org/entity/Q727,Mimoun Ouled Radi,Amsterdam,99,147710
"""In what city was Anthony Gale, known for his involvement in ice sledge hockey, born?""","[""Toronto"", ""City of Toronto"", ""The Six"", ""T-O"", ""The 416"", ""Hogtown""]",816703,Anthony Gale,place of birth,Toronto,348944,218,534176,[],"[""City of Toronto"",""The Six"",""T-O"",""The 416"",""Hogtown""]",http://www.wikidata.org/entity/Q15979653,http://www.wikidata.org/entity/Q172,Anthony Gale (sledge hockey),Toronto,69,208499
In what city was Shinji Hamazaki born?,"[""Kure""]",5746036,Shinji Hamazaki,place of birth,Kure,2565238,218,770703,[],[],http://www.wikidata.org/entity/Q7497577,http://www.wikidata.org/entity/Q223439,Shinji Hamazaki,"Kure, Hiroshima",58,3509
In what city was Henry Soames born?,"[""Brighton"", ""Brighthelmston"", ""Brighthelmstone"", ""Brighton, East Sussex"", ""Brighton, England""]",4384819,Henry Soames,place of birth,Brighton,1926373,218,167084,[],"[""Brighthelmston"",""Brighthelmstone"",""Brighton, East Sussex"",""Brighton, England""]",http://www.wikidata.org/entity/Q5728475,http://www.wikidata.org/entity/Q131491,Henry Soames,Brighton,68,52628
In what city was Karl Bartholomaeus Heller born?,"[""Moravia""]",1207757,Karl Bartholomaeus Heller,place of birth,Moravia,537798,218,1300460,"[""Carl Bartholom\u00e4us Heller"",""C.Heller""]",[],http://www.wikidata.org/entity/Q1730425,http://www.wikidata.org/entity/Q43266,Karl Bartholomaeus Heller,Moravia,49,52440
"In what city was Javier Suárez, the Spanish economist, born?","[""Madrid"", ""City of Madrid"", ""Madrid, Spain""]",3048920,Javier Suárez,place of birth,Madrid,1303604,218,936498,"[""Javier Suarez""]","[""City of Madrid"",""Madrid, Spain""]",http://www.wikidata.org/entity/Q434845,http://www.wikidata.org/entity/Q2807,Javier Suárez (economist),Madrid,96,108266
In what city was Anatoly Georgievich Ufimtsev born?,"[""Kursk""]",3101008,Anatoly Georgievich Ufimtsev,place of birth,Kursk,1322229,218,1041002,[],[],http://www.wikidata.org/entity/Q4479142,http://www.wikidata.org/entity/Q3159,Anatoly Georgievich Ufimtsev,Kursk,77,8648
In what city was Domenico Bologna born?,"[""Turin"", ""Torino"", ""Turin, Italy""]",924447,Domenico Bologna,place of birth,Turin,393070,218,1535871,[],"[""Torino"",""Turin, Italy""]",http://www.wikidata.org/entity/Q16198292,http://www.wikidata.org/entity/Q495,Domenico Bologna,Turin,27,75884
In what city was Alexandros Matsas born?,"[""Athens""]",3281909,Alexandros Matsas,place of birth,Athens,1408253,218,299930,"[""Alexandros A. M\u00e1tsas""]",[],http://www.wikidata.org/entity/Q4721054,http://www.wikidata.org/entity/Q1524,Alexandros Matsas,Athens,98,101288
"In what city was Kazuhiro Suzuki, the Japanese player, born?","[""Tokyo"", ""Tōkyō"", ""Tôkyô"", ""Tokyo-to"", ""Tokyo Metropolitan prefecture"", ""Tōkyō-to"", ""Tôkyô-to"", ""Tokyo Metropolis"", ""Tokio"", ""Tokyo Prefecture""]",787981,Kazuhiro Suzuki,place of birth,Tokyo,336142,218,273933,[],"[""T\u014dky\u014d"",""T\u00f4ky\u00f4"",""Tokyo-to"",""Tokyo Metropolitan prefecture"",""T\u014dky\u014d-to"",""T\u00f4ky\u00f4-to"",""Tokyo Metropolis"",""Tokio"",""Tokyo Prefecture""]",http://www.wikidata.org/entity/Q1574414,http://www.wikidata.org/entity/Q1490,Kazuhiro Suzuki,Tokyo,78,205487
"In what city was Gösta Eriksson, the Swedish coxswain, born?","[""Vaxholm""]",4306603,Gösta Eriksson,place of birth,Vaxholm,1889741,218,524,"[""G\u00f6sta Vilhelm Eriksson""]",[],http://www.wikidata.org/entity/Q5626679,http://www.wikidata.org/entity/Q1001109,Gösta Eriksson (rowing),Vaxholm,20,847
In what city was Rob Lukachyk born?,"[""Jersey City"", ""Jersey City, New Jersey""]",5593057,Rob Lukachyk,place of birth,Jersey City,2493114,218,887151,"[""Robert James Lukachyk""]","[""Jersey City, New Jersey""]",http://www.wikidata.org/entity/Q7340325,http://www.wikidata.org/entity/Q26339,Rob Lukachyk,"Jersey City, New Jersey",78,30760
In what city was Pierre-Yves Barré born?,"[""Paris"", ""City of Light"", ""Paris, France""]",2415819,Pierre-Yves Barré,place of birth,Paris,1048905,218,2874868,"[""Pierre-Yves Barre""]","[""City of Light"",""Paris, France""]",http://www.wikidata.org/entity/Q3180772,http://www.wikidata.org/entity/Q90,Pierre-Yves Barré,Paris,57,265592
In what city was Todd Sieben born?,"[""Geneseo"", ""Geneseo, Illinois""]",6003558,Todd Sieben,place of birth,Geneseo,2696112,218,1939914,[],"[""Geneseo, Illinois""]",http://www.wikidata.org/entity/Q7812633,http://www.wikidata.org/entity/Q577536,Todd Sieben,"Geneseo, Illinois",79,1523
In what city was Louis Joseph Troost born?,"[""Paris"", ""City of Light"", ""Paris, France""]",2471916,Louis Joseph Troost,place of birth,Paris,1070121,218,2874868,"[""Louis J. Troost""]","[""City of Light"",""Paris, France""]",http://www.wikidata.org/entity/Q3262363,http://www.wikidata.org/entity/Q90,Louis Joseph Troost,Paris,77,265592
In what city was Heiko Balz born?,"[""Burg"", ""Burg bei Magdeburg"", ""Burg (bei Magdeburg)"", ""Burg (b Magdeburg)"", ""Stadt Burg""]",663859,Heiko Balz,place of birth,Burg,280590,218,1698954,[],"[""Burg bei Magdeburg"",""Burg (bei Magdeburg)"",""Burg (b Magdeburg)"",""Stadt Burg""]",http://www.wikidata.org/entity/Q1496947,http://www.wikidata.org/entity/Q525632,Heiko Balz,Burg bei Magdeburg,94,740
In what city was Margot Shumway born?,"[""Cincinnati"", ""Cincy"", ""Cincinnati, Ohio"", ""Cinti"", ""Cincinnati, OH"", ""Cin City""]",258459,Margot Shumway,place of birth,Cincinnati,104059,218,1299778,[],"[""Cincy"",""Cincinnati, Ohio"",""Cinti"",""Cincinnati, OH"",""Cin City""]",http://www.wikidata.org/entity/Q11768667,http://www.wikidata.org/entity/Q43196,Margot Shumway,Cincinnati,81,88244
In what city was Vitaliy Sobko born?,"[""Kharkiv"", ""Kharkov"", ""Chárkiv"", ""Harkov"", ""Khar'kov"", ""Kharkoff""]",6113871,Vitaliy Sobko,place of birth,Kharkiv,2752198,218,1288296,"[""Vitaliy Ivanovych Sobko""]","[""Kharkov"",""Ch\u00e1rkiv"",""Harkov"",""Khar'kov"",""Kharkoff""]",http://www.wikidata.org/entity/Q7936909,http://www.wikidata.org/entity/Q42308,Vitaliy Sobko,Kharkiv,60,23497
In what city was the Swedish athlete Mikael Eriksson born?,"[""Karlskoga""]",5169150,Mikael Eriksson,place of birth,Karlskoga,2287144,218,1811026,[],[],http://www.wikidata.org/entity/Q6845600,http://www.wikidata.org/entity/Q54732,Mikael Eriksson (ice hockey),Karlskoga,50,1317
In what city was Rodger Stevens born?,"[""Brooklyn"", ""Brooklyn, New York""]",5618468,Rodger Stevens,place of birth,Brooklyn,2503668,218,622054,[],"[""Brooklyn, New York""]",http://www.wikidata.org/entity/Q7356737,http://www.wikidata.org/entity/Q18419,Rodger Stevens,Brooklyn,89,131455
"In what city was Liam Carroll, the Irish, born?","[""Kinnitty""]",1208142,Liam Carroll,place of birth,Kinnitty,537981,218,757258,[],[],http://www.wikidata.org/entity/Q17305760,http://www.wikidata.org/entity/Q2181821,Liam Carroll (hurler),Kinnitty,43,343
In what city was Wellington Santos da Silva born?,"[""Guarulhos""]",1219902,Wellington Santos da Silva,place of birth,Guarulhos,542924,218,622472,[],[],http://www.wikidata.org/entity/Q1739038,http://www.wikidata.org/entity/Q184409,Wellington Santos da Silva,Guarulhos,51,2856
"In what city was George Chambers, the English (1884–1947), born?","[""Kimberley"", ""Kimberley, Nottinghamshire""]",4210200,George Chambers,place of birth,Kimberley,1846006,218,835762,"[""George Henry Chambers""]","[""Kimberley, Nottinghamshire""]",http://www.wikidata.org/entity/Q5537801,http://www.wikidata.org/entity/Q2464975,"George Chambers (cricketer, born 1884)","Kimberley, Nottinghamshire",25,574
In what city was Marie-Hélène Aubert born?,"[""Nantes""]",3075794,Marie-Hélène Aubert,place of birth,Nantes,1313506,218,127983,"[""Marie-Helene Aubert""]",[],http://www.wikidata.org/entity/Q440732,http://www.wikidata.org/entity/Q12191,Marie-Hélène Aubert,Nantes,74,30977
In what city was Johann Gregor Memhardt born?,"[""Linz""]",6336815,Johann Gregor Memhardt,place of birth,Linz,2857457,218,1278226,[],[],http://www.wikidata.org/entity/Q86782,http://www.wikidata.org/entity/Q41329,Johann Gregor Memhardt,Linz,71,17671
In what city was Franghískos Papamanólis born?,"[""Ano Syros""]",3046562,Franghískos Papamanólis,place of birth,Ano Syros,1302749,218,582609,"[""Franghiskos Papamanolis"",""Frangiskos Papamanolis""]",[],http://www.wikidata.org/entity/Q4344620,http://www.wikidata.org/entity/Q1801890,Frangiskos Papamanolis,Ano Syros,57,431
In what city was Stig Kleven born?,"[""Notodden""]",5834060,Stig Kleven,place of birth,Notodden,2611031,218,794559,[],[],http://www.wikidata.org/entity/Q7616439,http://www.wikidata.org/entity/Q2326,Stig Kleven,Notodden,49,1659
In what city was Li Huai Min born?,"[""Hong Kong"", ""HKSAR"", ""HKG"", ""HK"", ""Hong Kong SAR"", ""China Hong Kong"", ""Hong Kong, China"", ""hk"", ""Hong Kong SAR, China"", ""🇭🇰"", ""Hong Kong Special Administrative Region"", ""Hongkong"", ""xiang gang""]",4960050,Li Huai Min,place of birth,Hong Kong,2187438,218,2855898,[],"[""HKSAR"",""HKG"",""HK"",""Hong Kong SAR"",""China Hong Kong"",""Hong Kong, China"",""hk"",""Hong Kong SAR, China"",""\ud83c\udded\ud83c\uddf0"",""Hong Kong Special Administrative Region"",""Hongkong"",""xiang gang""]",http://www.wikidata.org/entity/Q6538834,http://www.wikidata.org/entity/Q8646,Li Huai Min,Hong Kong,80,324750
In what city was Florian Reichstädter born?,"[""Vienna"", ""Wien"", ""Vienna, Austria"", ""W""]",946759,Florian Reichstädter,place of birth,Vienna,403599,218,544306,[],"[""Wien"",""Vienna, Austria"",""W""]",http://www.wikidata.org/entity/Q16221133,http://www.wikidata.org/entity/Q1741,Florian Reichstädter,Vienna,54,122060
In what city was Jean-Georges Lefranc de Pompignan born?,"[""Montauban"", ""Rive-Civique""]",1076870,Jean-Georges Lefranc de Pompignan,place of birth,Montauban,463605,218,535857,"[""Jean-Georges Lefranc de Pompignan""]","[""Rive-Civique""]",http://www.wikidata.org/entity/Q1684872,http://www.wikidata.org/entity/Q172593,Jean Georges Lefranc de Pompignan,Montauban,68,3572
In what city was Brad Goddard born?,"[""Lucan Biddulph""]",3557063,Brad Goddard,place of birth,Lucan Biddulph,1537895,218,2221382,"[""Bradley David Goddard""]",[],http://www.wikidata.org/entity/Q4953951,http://www.wikidata.org/entity/Q6696010,Brad Goddard,Lucan Biddulph,88,666
What genre is the single Drive On by Brother Beyond?,"[""pop music"", ""pop"", ""Pop""]",3955580,Drive On,genre,pop music,1727609,91,1193964,[],"[""pop"",""Pop""]",http://www.wikidata.org/entity/Q5307918,http://www.wikidata.org/entity/Q37073,Drive On (song),Pop music,90,286065
What is the genre of the 1995 song Mother by Luna Sea?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]",5215694,Mother,genre,rock music,2309573,91,82098,[],"[""rock and roll"",""rock"",""Rock""]",http://www.wikidata.org/entity/Q6917290,http://www.wikidata.org/entity/Q11399,Mother (Luna Sea song),Rock music,79,140450
What genre is Me and My Friend?,"[""sitcom"", ""situational comedy"", ""situation comedy""]",5132268,Me and My Friend,genre,sitcom,2269467,91,509702,[],"[""situational comedy"",""situation comedy""]",http://www.wikidata.org/entity/Q6803053,http://www.wikidata.org/entity/Q170238,Me and My Friend,Sitcom,66,47889
"What is the genre of Unknown, the 1988 anthology?","[""fantasy"", ""fantasy fiction""]",1184585,Unknown,genre,fantasy,527528,91,171945,[],"[""fantasy fiction""]",http://www.wikidata.org/entity/Q17124808,http://www.wikidata.org/entity/Q132311,Unknown (1988 anthology),Fantasy,42,105540
