question,possible_answers,subject,predicate,object,object_surfaceform,triple,sub_pred,subject_label,predicate_label,object_label
Who was the doctoral advisor of Georg Simon Klügel?,"[""Abraham Gotthelf K\u00e4stner"", ""Abraham G. K\u00e4stner""]",Q214378,P184,Q61813,Abraham Gotthelf Kästner,Q214378 P184 Q61813,Q214378 P184,Georg Simon Klügel,doctoral advisor,Abraham Gotthelf Kästner
What country is Wanrong Station located in?,"[""TWN"", ""\ud83c\uddf9\ud83c\uddfc"", ""Chunghwa Minkwo"", ""Taiwan"", ""ROC"", ""Republic of China"", ""Republic of China (Taiwan)"", ""Nationalist China"", ""China, Republic"", ""Chinese Taipei"", ""TW"", ""Taiwan ROC"", ""Chunghwa Minkuo"", ""Free area of the Republic of China"", ""Formosa"", ""Free China"", ""China (formerly known as)""]",Q11620482,P17,Q865,Taiwan,Q11620482 P17 Q865,Q11620482 P17,Wanrong Station,country,Taiwan
What type of cuisine does Le Pavillon serve?,"[""French cuisine"", ""French food"", ""cuisine of France"", ""French restaurant""]",Q6507417,P2012,Q6661,French restaurant,Q6507417 P2012 Q6661,Q6507417 P2012,Le Pavillon,cuisine,French cuisine
What was Nicolae Dașcovici's occupation?,"[""writers"", ""author"", ""writer"", ""historiographer"", ""diplomat"", ""authors"", ""jurist"", ""historian"", ""opinion journalist"", ""publicist"", ""historians"", ""opinion writer""]",Q12736639,P106,Q185351,jurist,Q12736639 P106 Q185351,Q12736639 P106,Nicolae Dașcovici,occupation,jurist
What is the genre of Badi Baat?,"[""HIFI"", ""HLFI"", ""HFI"", ""Bollywood"", ""Hindi language film industry"", ""Hindi Cinema""]",Q16246911,P136,Q93196,Bollywood,Q16246911 P136 Q93196,Q16246911 P136,Badi Baat,genre,Bollywood
What administrative division is Agdash the capital of?,"[""Agdash District"", ""Aresh Uyezd"", ""Areshsky Uyezd""]",Q1983932,P1376,Q4789086,Aresh Uyezd,Q1983932 P1376 Q4789086,Q1983932 P1376,Agdash,capital of,Areshsky Uyezd
Where was Aisha Gerber educated?,"[""UCLA"", ""University of California Southern Branch"", ""State Normal School at Los Angeles"", ""Los Angeles University of California"", ""University of California-Los Angeles"", ""University of California Los Angeles"", ""University of California, Los Angeles"", ""ucla.edu"", ""UC Los Angeles"", ""University of California at Los Angeles""]",Q4699139,P69,Q174710,UCLA,Q4699139 P69 Q174710,Q4699139 P69,Aisha Gerber,educated at,"University of California, Los Angeles"
What religion was Chone Monastery originally associated with?,"[""Geluk"", ""Gelug"", ""Sakya""]",Q947537,P140,Q650035,Sakya,Q947537 P140 Q650035,Q947537 P140,Chone Monastery,religion,Sakya
What is the color of Zaga Pyaw Thaw Athe-Hnalon?,"[""black-and-white cinema"", ""B/W"", ""colorless cinema"", ""black-and-white"", ""black and white"", ""B&W"", ""black and white film""]",Q8064329,P462,Q838368,black-and-white,Q8064329 P462 Q838368,Q8064329 P462,Zaga Pyaw Thaw Athe-Hnalon,color,black and white
What country recognizes Jerzy Twardokens as its citizen?,"[""Republic of Poland"", ""Poland"", ""PL"", ""Polska"", ""POL""]",Q3808094,P27,Q36,Poland,Q3808094 P27 Q36,Q3808094 P27,Jerzy Twardokens,country of citizenship,Poland
"What is the administrative center of Syumsi in Udmurtia, Russia?","[""Syumsinsky District"", """"]",Q2047348,P1376,Q1092435,Syumsinsky District,Q2047348 P1376 Q1092435,Q2047348 P1376,Syumsi,capital of,Syumsinsky District
What channel broadcast the 2009 New Zealand Music Awards?,"[""C4""]",Q4614463,P3301,Q202646,C4,Q4614463 P3301 Q202646,Q4614463 P3301,2009 New Zealand Music Awards,broadcast by,C4
What is the genre of the 1917 American silent drama film Money Magic?,"[""silent movie"", ""silent film"", ""silent""]",Q21183856,P136,Q226730,silent,Q21183856 P136 Q226730,Q21183856 P136,Money Magic,genre,silent film
What is the capital of Saidabad Rural District?,"[""Saidabad-e Jajrud"", ""Saidabad, Tehran""]",Q16726954,P36,Q7399944,Saidabad-e Jajrud,Q16726954 P36 Q7399944,Q16726954 P36,Saidabad Rural District,capital,"Saidabad, Tehran"
What language is widely used in the Roman Catholic Diocese of Viedma?,"[""Spanish language"", ""Castilian language"", ""Spanish"", ""es"", ""Espa\u00f1ol"", ""Castilian""]",Q877868,P2936,Q1321,Spanish,Q877868 P2936 Q1321,Q877868 P2936,Roman Catholic Diocese of Viedma,language used,Spanish
"""In which district is Pilna, a human settlement in Nizhny Novgorod Oblast, Russia, located?""","["""", ""Pilninsky District""]",Q2095110,P1376,Q1654652,Pilninsky District,Q2095110 P1376 Q1654652,Q2095110 P1376,Pilna,capital of,Pilninsky District
What is the capital of Dibaj Rural District?,"[""Shiligan""]",Q5272205,P36,Q7496645,Shiligan,Q5272205 P36 Q7496645,Q5272205 P36,Dibaj Rural District,capital,Shiligan
Who was the father of Yuge?,"[""Tenmu-tenn\u014d"", ""Tenmu"", ""Emperor Tenmu"", ""Temmu"", ""Emperor Temmu""]",Q3076827,P22,Q335181,Emperor Tenmu,Q3076827 P22 Q335181,Q3076827 P22,Yuge,father,Temmu
What sport does Näis Djouahra participate in?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""footballer"", ""futbol"", ""soccer""]",Q59915046,P641,Q2736,footballer,Q59915046 P641 Q2736,Q59915046 P641,Näis Djouahra,sport,association football
What sport does Dejan Sarac participate in?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""footballer"", ""futbol"", ""soccer""]",Q68941849,P641,Q2736,footballer,Q68941849 P641 Q2736,Q68941849 P641,Dejan Sarac,sport,association football
What sport was played at the 1971 U.S. Pro Tennis Championships?,"[""tennis"", ""lawntennis"", ""lawn tennis""]",Q4001658,P641,Q847,tennis,Q4001658 P641 Q847,Q4001658 P641,1971 U.S. Pro Tennis Championships,sport,tennis
Who was the executive producer of Runaway Bride?,"[""Gary Lucchesi"", ""David Madden""]",Q1160813,P1431,Q5525494,Gary Lucchesi,Q1160813 P1431 Q5525494,Q1160813 P1431,Runaway Bride,executive producer,Gary Lucchesi
What is the religion of Sumugan?,"[""Sumerian religion"", ""Sumerian mythology"", ""Akkadian religion"", ""Akkadian mythology""]",Q7638098,P140,Q275051,Sumerian religion,Q7638098 P140 Q275051,Q7638098 P140,Sumugan,religion,Sumerian religion
"Who was the screenwriter for ""At the Earth's Core""?","[""Milton Subotsky"", ""Edgar Rice Burroughs""]",Q1199617,P58,Q148234,Edgar Rice Burroughs,Q1199617 P58 Q148234,Q1199617 P58,At the Earth's Core,screenwriter,Edgar Rice Burroughs
What sport is Irene Germini associated with?,"[""rhythmic gymnastics"", ""modern gymnastics"", ""rhythmic sportive gymnastics"", ""rhythmic gymnast""]",Q27972128,P641,Q61465,rhythmic gymnast,Q27972128 P641 Q61465,Q27972128 P641,Irene Germini,sport,rhythmic gymnastics
What sport is Ferenc Buday associated with?,"[""Pallammanu"", ""European handball"", ""European team handball"", ""Olympic handball"", ""Borden ball"", ""team handball"", ""handball""]",Q851315,P641,Q8418,handball,Q851315 P641 Q8418,Q851315 P641,Ferenc Buday,sport,handball
What is Magdalena de Cao the capital of?,"[""Magdalena de Cao District"", ""Magdalena de Cao""]",Q6729914,P1376,Q6319070,Magdalena de Cao,Q6729914 P1376 Q6319070,Q6729914 P1376,Magdalena de Cao,capital of,Magdalena de Cao District
Who was the director of photography for the New South Wales Horse Artillery in Action?,"[""Marius Ely Joseph Sestier"", ""Marius Sestier""]",Q101245323,P344,Q16030438,Marius Sestier,Q101245323 P344 Q16030438,Q101245323 P344,New South Wales Horse Artillery in Action,director of photography,Marius Sestier
What is the religion of Raul Nicolau Gonsalves?,"[""Roman Apostolic Catholic Church"", ""Catholic Church"", ""Roman Catholic Church"", ""Catholic"", ""Church""]",Q2133261,P140,Q9592,Catholic,Q2133261 P140 Q9592,Q2133261 P140,Raul Nicolau Gonsalves,religion,Catholic Church
What is the color of Descente du Mont Serrat?,"[""black-and-white cinema"", ""B/W"", ""colorless cinema"", ""black-and-white"", ""black and white"", ""B&W"", ""black and white film""]",Q20977964,P462,Q838368,black-and-white,Q20977964 P462 Q838368,Q20977964 P462,Descente du Mont Serrat,color,black and white
"What is the capital of Kiowa County in Oklahoma, United States?","[""Hobart"", ""Hobart, Oklahoma""]",Q485006,P36,Q2081308,Hobart,Q485006 P36 Q2081308,Q485006 P36,Kiowa County,capital,Hobart
"What is the color of Barcelone, Parc au crépuscule?","[""black-and-white cinema"", ""B/W"", ""colorless cinema"", ""black-and-white"", ""black and white"", ""B&W"", ""black and white film""]",Q4078527,P462,Q838368,black-and-white,Q4078527 P462 Q838368,Q4078527 P462,"Barcelone, Parc au crépuscule",color,black and white
What was the color of Pianissima?,"[""bay horse"", ""bay""]",Q7190061,P462,Q900906,bay,Q7190061 P462 Q900906,Q7190061 P462,Pianissima,color,bay
What country is uranium mining in Utah located in?,"[""the US"", ""the States"", ""U. S."", ""America"", ""the United States"", ""US of A"", ""U. S. A."", ""United States of America"", ""US"", ""U.S"", ""U.S."", ""the USA"", ""'Merica"", ""'Murica"", ""U.S.A."", ""USA"", ""United States"", ""the U.S."", ""the United States of America""]",Q7899696,P17,Q30,United States,Q7899696 P17 Q30,Q7899696 P17,uranium mining in Utah,country,United States of America
What is the name of Dorothy Stone's father?,"[""Fred Stone"", ""Fred A. Stone"", ""Fred Andrew Stone""]",Q19667885,P22,Q373738,Fred Stone,Q19667885 P22 Q373738,Q19667885 P22,Dorothy Stone,father,Fred Stone
What sport does Iraj Maani participate in?,"[""alpinism"", ""mountaineer"", ""mountain climbing"", ""mountaineering""]",Q35493641,P641,Q36908,mountaineer,Q35493641 P641 Q36908,Q35493641 P641,Iraj Maani,sport,mountaineering
Who was Mark Baker's doctoral advisor?,"[""Noam Chomsky"", ""A. Noam Chomsky"", ""Avram Noam Chomsky"", ""Chomsky""]",Q2069211,P184,Q9049,Noam Chomsky,Q2069211 P184 Q9049,Q2069211 P184,Mark Baker,doctoral advisor,Noam Chomsky
What was the religion of Henry Cottingham?,"[""Anglican"", ""Anglicanism, Anglican Church"", ""Anglicanism""]",Q63123786,P140,Q6423963,Anglican,Q63123786 P140 Q6423963,Q63123786 P140,Henry Cottingham,religion,Anglicanism
What is the capital of Bland County?,"[""Bland"", ""Bland, Virginia""]",Q495112,P36,Q584270,Bland,Q495112 P36 Q584270,Q495112 P36,Bland County,capital,Bland
What is the architectural style of the First Congregational Church of Clearwater?,"[""Greek Revival architecture"", ""Greek Revival (architecture)"", ""Greek Revival"", ""Neostyle - neo-Greek"", ""Neo-Greek architecture"", ""Neo-Greek""]",Q5452844,P149,Q1513688,Greek Revival architecture,Q5452844 P149 Q1513688,Q5452844 P149,First Congregational Church of Clearwater,architectural style,Greek Revival architecture
"Who was the doctoral advisor of Frederick Kipping in 1900, and what were the names of his brothers who were eminent scientists?","[""William Perkin Jr"", ""William Henry Perkin, Jr."", ""William Henry Perkin""]",Q1452753,P184,Q2631780,"William Henry Perkin, Jr.",Q1452753 P184 Q2631780,Q1452753 P184,Frederick Kipping,doctoral advisor,William Henry Perkin
What country recognizes Tudor Panțîru as its citizen?,"[""ro"", ""Romania"", ""\ud83c\uddf2\ud83c\udde9"", ""md"", ""Rom\u00e2nia"", ""Republica Moldova"", ""Moldavia"", ""Roumania"", ""Republic of Moldova"", ""MDA"", ""Rumania"", ""\ud83c\uddf7\ud83c\uddf4"", ""Moldova""]",Q7851306,P27,Q218,Romania,Q7851306 P27 Q218,Q7851306 P27,Tudor Panțîru,country of citizenship,Romania
What is the capital of Mankush?,"[""Guba""]",Q3286016,P1376,Q3118828,Guba,Q3286016 P1376 Q3118828,Q3286016 P1376,Mankush,capital of,Guba
What sport is Lyudmila Borsuk associated with?,"[""athletics"", ""light athletics"", ""Athletics (sport)"", ""athlete""]",Q45916868,P641,Q542,athlete,Q45916868 P641 Q542,Q45916868 P641,Lyudmila Borsuk,sport,athletics
Where was Teater Tun Siti Hasmah first performed?,"[""Istana Budaya""]",Q7691868,P4647,Q576601,Istana Budaya,Q7691868 P4647 Q576601,Q7691868 P4647,Teater Tun Siti Hasmah,location of first performance,Istana Budaya
What was Zhu Jingmei's medical condition?,"[""eunuch""]",Q5360649,P1050,Q179294,eunuch,Q5360649 P1050 Q179294,Q5360649 P1050,Zhu Jingmei,medical condition,eunuch
What country is Kashihara located in?,"[""Ja"", ""Land of the Rising Sun"", ""Nihon"", ""JA"", ""JP"", ""State of Japan"", ""Nippon"", ""Nihon-koku"", ""jp"", ""JPN"", ""Nippon-koku"", ""Japan"", ""JAP"", ""Jap""]",Q496319,P17,Q17,Japan,Q496319 P17 Q17,Q496319 P17,Kashihara,country,Japan
What language was widely spoken in the Lima region until the middle of the 20th century?,"[""Ayacucho Quechua"", ""Jaqaru"", ""Chanka"", ""Cajatambo North Lima Quechua"", ""Yauyos\u2013Chincha Quechua"", ""Jauja Wanca Quechua"", ""Jauja Wanka"", ""Shawsha Wanka Quechua"", ""Yauyos Quechua"", ""Jaqaru language"", ""Pacaraos Quechua"", ""Chincha Quechua"", ""Wanka Quechua"", ""Jauja Wanka Quechua"", ""North Jun\u00edn Quechua"", ""Shawsha Wanka"", ""Ambo-Pasco Quechua"", ""qxw"", ""Chanca""]",Q211795,P2936,Q36331,Pacaraos Quechua,Q211795 P2936 Q36331,Q211795 P2936,Lima region,language used,Pacaraos Quechua
What administrative division is Río Sereno the capital of?,"[""Renacimiento District""]",Q7386411,P1376,Q2216549,Renacimiento District,Q7386411 P1376 Q2216549,Q7386411 P1376,Río Sereno,capital of,Renacimiento District
What is the color of dried apricots?,"[""orange"", ""color orange"", ""orange color""]",Q4247694,P462,Q39338,orange,Q4247694 P462 Q39338,Q4247694 P462,dried apricot,color,orange
What university did J. Anthony Holmes attend?,"[""UGA"", ""University of Georgia"", ""Franklin College""]",Q16145286,P69,Q761534,University of Georgia,Q16145286 P69 Q761534,Q16145286 P69,J. Anthony Holmes,educated at,University of Georgia
What was Manfred Römbell's occupation?,"[""contributor"", ""scriptwriter"", ""writers"", ""screenwriter"", ""writer"", ""authors"", ""screenplay writer"", ""author"", ""script writer"", ""scenarist"", ""screen writer""]",Q88836,P106,Q482980,author,Q88836 P106 Q482980,Q88836 P106,Manfred Römbell,occupation,author
Where did Carlos S. Quirós attend and graduate from?,"[""UPR"", ""University of Puerto Rico""]",Q5042601,P69,Q2075365,University of Puerto Rico,Q5042601 P69 Q2075365,Q5042601 P69,Carlos S. Quirós,educated at,University of Puerto Rico
"Where was Norman, Is That You? first performed?","[""Lyceum Theatre"", ""New Lyceum Theatre""]",Q3372879,P4647,Q1756846,Lyceum Theatre,Q3372879 P4647 Q1756846,Q3372879 P4647,"Norman, Is That You?",location of first performance,Lyceum Theatre
What is the name of the father of Eishin Preston?,"[""Green Dancer""]",Q5349968,P22,Q5602468,Green Dancer,Q5349968 P22 Q5602468,Q5349968 P22,Eishin Preston,father,Green Dancer
"Who is Josiah Johnson, Jr. a relative of?","[""Josiah Johnson"", ""Josiah Johnson, Sr."", ""Josiah Johnson Sr.""]",Q105757826,P1038,Q106410719,Josiah Johnson Sr.,Q105757826 P1038 Q106410719,Q105757826 P1038,"Josiah Johnson, Jr.",relative,"Josiah Johnson, Sr."
What language is WAAR TV HD in?,"[""Kurdish"", ""ku"", ""Kurdish languages"", ""Kurdish dialects"", ""Kurdish language"", ""Kurdi""]",Q15627503,P2936,Q36368,Kurdish language,Q15627503 P2936 Q36368,Q15627503 P2936,WAAR TV HD,language used,Kurdish
What is the genre of Mondays Are Like Tuesdays and Tuesdays Are Like Wednesdays?,"[""indiepop"", ""indie pop"", ""indie pop music"", ""indie-pop""]",Q6898672,P136,Q842324,indie pop,Q6898672 P136 Q842324,Q6898672 P136,Mondays Are Like Tuesdays and Tuesdays Are Like Wednesdays,genre,indie pop
"Who directed By a Woman's Wit, the 1911 American silent film produced by Kalem Company?","[""Sidney Olcott""]",Q3647824,P162,Q543630,Sidney Olcott,Q3647824 P162 Q543630,Q3647824 P162,By a Woman's Wit,producer,Sidney Olcott
What sport is Nguyen Anh Khoi associated with?,"[""Western Chess"", ""Modern European Chess"", ""chess"", ""chess game"", ""International Chess""]",Q16157664,P641,Q718,chess,Q16157664 P641 Q718,Q16157664 P641,Nguyen Anh Khoi,sport,chess
What was Ugo Pozzan's occupation?,"[""soccer coach"", ""association footballer"", ""soccer player"", ""football player"", ""manager"", ""football coach"", ""association football coach"", ""football manager"", ""association football player"", ""association football manager"", ""soccer manager"", ""coach"", ""footballer"", ""player""]",Q4002878,P106,Q628099,manager,Q4002878 P106 Q628099,Q4002878 P106,Ugo Pozzan,occupation,association football manager
"Who was the executive producer of My Son, My Son, What Have Ye Done?","[""Austin Stark"", ""David Lynch"", ""David Keith Lynch""]",Q1511905,P1431,Q2071,David Lynch,Q1511905 P1431 Q2071,Q1511905 P1431,"My Son, My Son, What Have Ye Done?",executive producer,David Lynch
What sport is the 1965 Meath Intermediate Football Championship associated with?,"[""Gaelic football""]",Q48815373,P641,Q204632,Gaelic football,Q48815373 P641 Q204632,Q48815373 P641,1965 Meath Intermediate Football Championship,sport,Gaelic football
What religion was James Edward Michaels associated with?,"[""Roman Apostolic Catholic Church"", ""Catholic Church"", ""Roman Catholic Church"", ""Catholic"", ""Church""]",Q1680322,P140,Q9592,Catholic,Q1680322 P140 Q9592,Q1680322 P140,James Edward Michaels,religion,Catholic Church
What sport did Serie A (basketball) 2003–04 participate in?,"[""basket ball"", ""b-ball"", ""basketball"", ""Basketball"", ""hoops"", ""BB""]",Q1130389,P641,Q5372,basketball,Q1130389 P641 Q5372,Q1130389 P641,Serie A (basketball) 2003–04,sport,basketball
What sport does Marcel Tanzmayr participate in?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""footballer"", ""futbol"", ""soccer""]",Q65552958,P641,Q2736,footballer,Q65552958 P641 Q2736,Q65552958 P641,Marcel Tanzmayr,sport,association football
"What channel, network, website or service broadcasted Myx Music Awards 2011?","[""Myx""]",Q6949345,P3301,Q3297371,Myx,Q6949345 P3301 Q3297371,Q6949345 P3301,Myx Music Awards 2011,broadcast by,Myx
What sport does Cathy Giancaspro participate in?,"[""gymnastics"", ""gymnast"", ""artistic gymnastics"", ""qymnastics sports""]",Q66441223,P641,Q43450,gymnast,Q66441223 P641 Q43450,Q66441223 P641,Cathy Giancaspro,sport,gymnastics
What was Jin Su's mother's name?,"[""Empress Wang Zhi""]",Q15956200,P25,Q448012,Empress Wang Zhi,Q15956200 P25 Q448012,Q15956200 P25,Jin Su,mother,Empress Wang Zhi
What genre is Abhinay Chakra?,"[""action movie"", ""drama (film and television)"", ""drama"", ""action film"", ""action"", ""film action"", ""movie action"", ""drama movie""]",Q16912307,P136,Q188473,action film,Q16912307 P136 Q188473,Q16912307 P136,Abhinay Chakra,genre,action film
What genre did Balthasar-Paul Ommeganck work in?,"[""landscape painting"", ""landscape art"", ""landscapes"", ""landscape""]",Q2198269,P136,Q191163,landscapes,Q2198269 P136 Q191163,Q2198269 P136,Balthasar-Paul Ommeganck,genre,landscape art
What is the capital of the Principality of Ponte Corvo?,"[""Pontecorvo""]",Q3921986,P36,Q117186,Pontecorvo,Q3921986 P36 Q117186,Q3921986 P36,Principality of Ponte Corvo,capital,Pontecorvo
What religion was Clark Bentom associated with?,"[""Presbyterian"", ""Presbyterianism, Presbyterian Church"", ""Presbyterian Church"", ""Presbyterian churches"", ""Presbyterianism""]",Q5127152,P140,Q178169,Presbyterian,Q5127152 P140 Q178169,Q5127152 P140,Clark Bentom,religion,Presbyterianism
What genre is The Customs Judge?,"[""silent movie"", ""silent film"", ""silent""]",Q28130528,P136,Q226730,silent film,Q28130528 P136 Q226730,Q28130528 P136,The Customs Judge,genre,silent film
What is Oļegs Deņisovs' occupation?,"[""pol"", ""polit."", ""political figure"", ""political leader"", ""politician""]",Q7116781,P106,Q82955,politician,Q7116781 P106 Q82955,Q7116781 P106,Oļegs Deņisovs,occupation,politician
"What is the name of the province where Palca, a human settlement in Bolivia, serves as the governmental seat?","[""Pedro Domingo Murillo Province""]",Q1001975,P1376,Q590873,Pedro Domingo Murillo Province,Q1001975 P1376 Q590873,Q1001975 P1376,Palca,capital of,Pedro Domingo Murillo Province
What administrative division is Yurgamysh the capital of?,"["""", ""Yurgamyshsky District""]",Q2684209,P1376,Q1753544,Yurgamyshsky District,Q2684209 P1376 Q1753544,Q2684209 P1376,Yurgamysh,capital of,Yurgamyshsky District
What is the religion of Ile Maroia Laji?,"[""Candonble"", ""Cadomble"", ""Batuque"", ""Candombl\u00e9"", ""Candomble""]",Q5997405,P140,Q752660,Candomblé,Q5997405 P140 Q752660,Q5997405 P140,Ile Maroia Laji,religion,Candomblé
What was César Alonso de las Heras?,"[""reverend"", ""poetess"", ""bard"", ""priestess"", ""poet"", ""priest""]",Q5202495,P106,Q42603,priest,Q5202495 P106 Q42603,Q5202495 P106,César Alonso de las Heras,occupation,priest
What educational institution was Edna Shavit affiliated with?,"[""Universi\u1e6dat Tel-Aviv"", ""Tel Aviv University"", ""TAU""]",Q5340096,P69,Q319239,Tel Aviv University,Q5340096 P69 Q319239,Q5340096 P69,Edna Shavit,educated at,Tel Aviv University
What sport did Yekaterina Nesterenko participate in?,"[""alpine skiing"", ""alpine skier""]",Q8051362,P641,Q186222,alpine skier,Q8051362 P641 Q186222,Q8051362 P641,Yekaterina Nesterenko,sport,alpine skiing
What medical condition did Nathaniel Heckford die of?,"[""tuberculosis"", ""Tuberculosis"", ""In the clinic. Tuberculosis"", ""phthisis"", ""hydrothorax"", ""phthisis pulmonalis"", ""TB"", ""phtisis"", ""consumption""]",Q6969658,P1050,Q12204,tuberculosis,Q6969658 P1050 Q12204,Q6969658 P1050,Nathaniel Heckford,medical condition,tuberculosis
"What country is Aïn Lahdjar, a commune and town in Sétif Province, located in?","[""People\u2019s Democratic Republic of Algeria"", ""\ud83c\udde9\ud83c\uddff"", ""Algeria"", ""ALG"", ""dz""]",Q2876350,P17,Q262,Algeria,Q2876350 P17 Q262,Q2876350 P17,Aïn Lahdjar,country,Algeria
What country is Bate-Nafadji located in?,"[""Republique de Guinee"", ""\ud83c\uddec\ud83c\uddf3"", ""GUI"", ""Guinea-Conakry"", ""R\u00e9publique de Guin\u00e9e"", ""Republic of Guinea"", ""Guinea"", ""gn""]",Q253735,P17,Q1006,Guinea,Q253735 P17 Q1006,Q253735 P17,Bate-Nafadji,country,Guinea
What is the capital of the canton of Marseille-Saint-Lambert?,"[""Marseilles"", ""City of Marseille"", ""Marsiglia"", ""Marsaille"", ""Massalia"", ""Massaliotes"", ""Ville-sans-Nom"", ""Marsielles"", ""Marseille"", ""Marsielle"", ""Marsailles"", ""Marseille, France"", ""Sans-Nom""]",Q1726141,P36,Q23482,Marseille,Q1726141 P36 Q23482,Q1726141 P36,canton of Marseille-Saint-Lambert,capital,Marseille
Where was Ẹni Ògún first performed?,"[""Muson Centre""]",Q20925553,P4647,Q25042459,Muson Centre,Q20925553 P4647 Q25042459,Q20925553 P4647,Ẹni Ògún,location of first performance,Muson Centre
What is the capital of the canton of Marseille-La Pomme?,"[""Marseilles"", ""City of Marseille"", ""Marsiglia"", ""Marsaille"", ""Massalia"", ""Massaliotes"", ""Ville-sans-Nom"", ""Marsielles"", ""Marseille"", ""Marsielle"", ""Marsailles"", ""Marseille, France"", ""Sans-Nom""]",Q1726117,P36,Q23482,Marseille,Q1726117 P36 Q23482,Q1726117 P36,canton of Marseille-La Pomme,capital,Marseille
Who was the producer of Draquila – L'Italia che trema?,"[""Sabina Guzzanti""]",Q1218637,P162,Q772416,Sabina Guzzanti,Q1218637 P162 Q772416,Q1218637 P162,Draquila – L'Italia che trema,producer,Sabina Guzzanti
What sport does Gonzalo Guijarro participate in?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""footballer"", ""futbol"", ""soccer""]",Q39195927,P641,Q2736,footballer,Q39195927 P641 Q2736,Q39195927 P641,Gonzalo Guijarro,sport,association football
What country recognizes Erik Andersen Nordquelle as its citizen?,"[""NO"", ""no"", ""Norwegen\u200f"", ""NOR"", ""\ud83c\uddf3\ud83c\uddf4"", ""Norway"", ""Norv\u00e8ge\u200f"", ""Noreg"", ""Norge"", ""Kingdom of Norway""]",Q4579245,P27,Q20,Norway,Q4579245 P27 Q20,Q4579245 P27,Erik Andersen Nordquelle,country of citizenship,Norway
What is the municipality that Tampico Alto serves as the capital of?,"[""Tampico Alto"", ""Tampico Alto Municipality""]",Q3846850,P1376,Q17090205,Tampico Alto,Q3846850 P1376 Q17090205,Q3846850 P1376,Tampico Alto,capital of,Tampico Alto Municipality
What sport does Aybar Abdulla participate in?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""footballer"", ""futbol"", ""soccer""]",Q102283818,P641,Q2736,footballer,Q102283818 P641 Q2736,Q102283818 P641,Aybar Abdulla,sport,association football
What country recognizes Nick Sanderson as its citizen?,"[""G. B."", ""United Kingdom"", ""Great Britain"", ""U K"", ""G B R"", ""Britain"", ""Great Britain and Northern Ireland"", ""U. K."", ""G.B."", ""\ud83c\uddec\ud83c\udde7"", ""UK"", ""GBR"", ""British"", ""G B"", ""GB"", ""G.B.R."", ""United Kingdom of Great Britain and Northern Ireland"", ""U.K.""]",Q7027871,P27,Q145,British,Q7027871 P27 Q145,Q7027871 P27,Nick Sanderson,country of citizenship,United Kingdom
What is the name of Marie Bové's father?,"[""Jose Bove"", ""Joseph Bove"", ""Joseph Bov\u00e9"", ""Jos\u00e9 Bov\u00e9""]",Q16200064,P22,Q5819,José Bové,Q16200064 P22 Q5819,Q16200064 P22,Marie Bové,father,José Bové
What country is Koulgorin located in?,"[""bf"", ""\ud83c\udde7\ud83c\uddeb"", ""Burkina Faso""]",Q6434567,P17,Q965,Burkina Faso,Q6434567 P17 Q965,Q6434567 P17,Koulgorin,country,Burkina Faso
What is the country of citizenship of Nguyen Ngoc Ngan?,"[""SRV"", ""Vietnam"", ""VIE"", ""VN"", ""Viet Nam"", ""Socialist Republic of Vietnam"", ""Vi\u1ec7t Nam"", ""VNM"", ""\ud83c\uddfb\ud83c\uddf3""]",Q7022896,P27,Q881,Vietnam,Q7022896 P27 Q881,Q7022896 P27,Nguyen Ngoc Ngan,country of citizenship,Vietnam
What is the architectural style of the Towanda Historic District?,"[""Greek Revival architecture"", ""Greek Revival (architecture)"", ""Greek Revival"", ""Neostyle - neo-Greek"", ""Neo-Greek architecture"", ""Neo-Greek""]",Q7829548,P149,Q1513688,Greek Revival,Q7829548 P149 Q1513688,Q7829548 P149,Towanda Historic District,architectural style,Greek Revival architecture
"Who was the director of the 1977 movie ""Chakradhari""?","[""V. Madhusudhan Rao"", ""Veeramachineni Madhusudhan Rao""]",Q27964415,P57,Q7906125,V. Madhusudhan Rao,Q27964415 P57 Q7906125,Q27964415 P57,Chakradhari,director,V. Madhusudhan Rao
What is the capital of Charlevoix County?,"[""Charlevoix"", ""Charlevoix, Michigan""]",Q498020,P36,Q1066741,Charlevoix,Q498020 P36 Q1066741,Q498020 P36,Charlevoix County,capital,Charlevoix
What type of cuisine is lutefisk?,"[""foods"", ""cuisine of Sweden"", ""Norwegian food"", ""Swedish cuisine"", ""Norwegian cuisine"", ""Swedish food"", ""cuisine of Norway""]",Q890197,P2012,Q35623,foods,Q890197 P2012 Q35623,Q890197 P2012,lutefisk,cuisine,Swedish cuisine
What sport was the 1989 Torneo Godó associated with?,"[""tennis"", ""lawntennis"", ""lawn tennis""]",Q575807,P641,Q847,tennis,Q575807 P641 Q847,Q575807 P641,1989 Torneo Godó,sport,tennis
What genre was D.T.A.L. known for?,"[""hardcore punk"", ""Punk/HC"", ""hXc"", ""hardcore""]",Q22121826,P136,Q10922,hardcore punk,Q22121826 P136 Q10922,Q22121826 P136,D.T.A.L.,genre,hardcore punk
